proDelta[0] proIdx[0] proValid[0] proReady[0] proDelta[1] proIdx[1] proValid[1] proReady[1] proDelta[2] proIdx[2] proValid[2] proReady[2] proDelta[3] proIdx[3] proValid[3] proReady[3] proDelta[4] proIdx[4] proValid[4] proReady[4] proDelta[5] proIdx[5] proValid[5] proReady[5] proDelta[6] proIdx[6] proValid[6] proReady[6] proDelta[7] proIdx[7] proValid[7] proReady[7] CUDelta[0] CUIdx[0] CUValid[0] CUReady[0] CUDelta[1] CUIdx[1] CUValid[1] CUReady[1] CUDelta[2] CUIdx[2] CUValid[2] CUReady[2] CUDelta[3] CUIdx[3] CUValid[3] CUReady[3] CUDelta[4] CUIdx[4] CUValid[4] CUReady[4] CUDelta[5] CUIdx[5] CUValid[5] CUReady[5] CUDelta[6] CUIdx[6] CUValid[6] CUReady[6] CUDelta[7] CUIdx[7] CUValid[7] CUReady[7] 
3bce 8a 1 0 38f9 a8 1 0 3b5b 8a 1 0 32cc 02 1 0 3ab4 a2 1 1 3aea 1d 1 0 21ff a7 1 0 3b8e be 1 0 3994 83 1 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 0 
3bce 8a 1 0 38f9 a8 1 1 3b5b 8a 1 0 32cc 02 1 0 373c 6f 1 0 3aea 1d 1 0 21ff a7 1 0 3b8e be 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 3ab4 a2 1 1 0000 00 0 1 0000 00 0 1 0000 00 0 0 
3bce 8a 1 0 2b6d 9e 1 0 3b5b 8a 1 0 32cc 02 1 0 373c 6f 1 0 3aea 1d 1 1 21ff a7 1 0 3b8e be 1 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 0 38f9 a8 1 1 0000 00 0 1 0000 00 0 0 
3bce 8a 1 1 2b6d 9e 1 0 3b5b 8a 1 0 32cc 02 1 0 373c 6f 1 0 0000 00 0 0 21ff a7 1 0 3b8e be 1 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 3aea 1d 1 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 
3857 ae 1 0 2b6d 9e 1 0 3b5b 8a 1 0 32cc 02 1 0 373c 6f 1 0 39f3 f2 1 0 21ff a7 1 0 3b8e be 1 0 0000 00 0 1 3bce 8a 1 1 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 
3857 ae 1 0 2b6d 9e 1 0 3b5b 8a 1 0 32cc 02 1 1 373c 6f 1 0 39f3 f2 1 1 21ff a7 1 0 3b8e be 1 1 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 
3857 ae 1 0 2b6d 9e 1 0 3b5b 8a 1 0 0000 00 0 0 373c 6f 1 0 0000 00 0 0 21ff a7 1 0 0000 00 0 0 32cc 02 1 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 39f3 f2 1 1 3b8e be 1 1 
3857 ae 1 0 2b6d 9e 1 0 3b5b 8a 1 0 0000 00 0 0 373c 6f 1 1 0000 00 0 0 21ff a7 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 
3857 ae 1 0 2b6d 9e 1 0 3b5b 8a 1 0 0000 00 0 0 0000 00 0 0 3532 ee 1 0 21ff a7 1 0 03a1 48 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 373c 6f 1 1 0000 00 0 0 0000 00 0 0 
3857 ae 1 0 2b6d 9e 1 1 3b5b 8a 1 0 0000 00 0 0 3980 dc 1 0 3532 ee 1 0 21ff a7 1 1 03a1 48 1 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 
